,ID,Strain,Age,Weight,mediantemps,Date,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid
158,shh_14.0_10_159_FJ,FVB,14,159,14.031,12/08/14,FJ,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,-,162,159FJ
26,shh_14.0_17_161_DR,DUHi,14,161,14.131,5/27/2015,DR,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,Y,179,161DR
32,shh_14.5_10_161_FR,FVB,14.5,161,14.347,7/17/2014,FR,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,Y,179,161FR
28,shh_14.5_14_163_DH,DUHi,14.5,163,14.178,12/08/14,DH,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,-,179,163DH
159,shh_14.5_11_163_FR,FVB,14.5,163,14.19,7/30/2014,FR,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,-,162,163FR
176,shh_14.0_01_163-167_FB,FVB,14,165,14.251,03/04/15,FB,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,Y,162,165FB
178,shh_14.0_03_163-167_FB,FVB,14,165,13.989,1/22/2014,FB,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,Y,162,165FB
179,shh_14.0_04_163-167_FB,FVB,14,165,14.276,03/04/15,FB,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,-,179,165FB
115,shh_14.0_08_169_DR,DUHi,14,169,13.96,05/06/14,DR,2,0,0,0,0,1,2_0_0_1,145_2_0_0_1,Y,145,169DR
29,shh_14.0_24_177_DAA,DUHi,14,177,14.273,7/30/2014,DAA,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,Y,179,177DAA
213,shh_14.5_24_178_DI,DUHi,14.5,178,14.558,05/12/14,DI,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,-,179,178DI
136,shh_14.5_01_178_FC,FVB,14.5,178,14.092,03/04/14,FC,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,-,199,178FC
226,shh_14.5_28_184_FQ,FVB,14.5,184,14.258,4/23/2014,FQ,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,y,199,184FQ
227,shh_14.5_29_185_FQ,FVB,14.5,185,14.5,2/26/2015,FQ,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,-,199,185FQ
183,shh_14.5_21_186_DAD,DUHi,14.5,186,14.508,2/26/2015,DAD,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,y,179,186DAD
133,shh_15.0_09_186_DJ,DUHi,15,186,14.35,4/30/2015,DJ,1,1,0,1,0,1,1_1_1_1,202_1_1_1_1,-,202,186DJ
228,shh_14.5_30_189_FQ,FVB,14.5,189,14.77,1/30/2014,FQ,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,-,199,189FQ
192,shh_14.5_14_190_FZ,FVB,14.5,190,14.551,2/26/2015,FZ,0,2,0,1,0,1,0_2_1_1,227_0_2_1_1,y,227,190FZ
184,shh_14.5_22_191_DAD,DUHi,14.5,191,14.358,5/13/2015,DAD,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,y,179,191DAD
138,shh_14.0_11_195_FP,FVB,14,195,14.407,4/30/2015,FP,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,-,199,195FP
139,shh_14.0_12_199_FP,FVB,14,199,14.406,2/25/2015,FP,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,-,199,199FP
134,shh_15.0_14_203_DAB,DUHi,15,203,14.458,2/25/2015,DAB,1,1,0,1,0,1,1_1_1_1,202_1_1_1_1,Y,202,203DAB
230,shh_14.5_32_207_FZ,FVB,14.5,207,14.974,10/30/2014,FZ,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,y,199,207FZ
232,shh_14.5_34_209_FZ,FVB,14.5,209,14.54,5/13/2015,FZ,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,209FZ
233,shh_14.5_36_214_FZ,FVB,14.5,214,14.555,5/13/2015,FZ,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,214FZ
140,shh_14.5_13_215_FP,FVB,14.5,215,14.602,5/13/2015,FP,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,-,199,215FP
185,shh_14.5_23_217_DAD,DUHi,14.5,217,14.623,2/25/2015,DAD,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,-,179,217DAD
191,shh_14.5_06_218_FZ,FVB,14.5,218,14.629,4/30/2015,FZ,0,2,0,1,0,1,0_2_1_1,227_0_2_1_1,y,227,218FZ
135,shh_15.0_01_219_DK,DUHi,15,219,14.636,5/13/2015,DK,1,2,0,2,1,1,1_2_2_1,235_1_2_2_1,Y,235,219DK
27,shh_15.0_06_221_DK,DUHi,15,221,14.691,3/13/2014,DK,1,2,0,2,0,1,1_2_2_1,235_1_2_2_1,-,235,221DK
46,shh_14.5_08_221_FL,FVB,14.5,221,14.701,3/13/2014,FL,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,Y,325,221FL
216,shh_14.5_28_223_DAF,DUHi,14.5,223,14.638,12/11/14,DAF,1,1,0,1,0,1,1_1_1_1,202_1_1_1_1,-,202,223DAF
33,shh_14.5_02_228_DG,DUHi,14.5,228,14.548,10/29/2015,DG,1,2,0,2,0,1,1_2_2_1,235_1_2_2_1,-,235,228DG
203,shh_15.0_11_229_FAA,FVB,15,229,14.515,12/17/2013,FAA,0,2,0,1,0,1,0_2_1_1,227_0_2_1_1,-,227,229FAA
215,shh_14.5_25_236_DAF,DUHi,14.5,236,14.951,5/27/2015,DAF,1,1,0,1,0,1,1_1_1_1,202_1_1_1_1,-,202,236DAF
214,shh_14.0_27_237_DG,DUHi,14,237,14.657,10/29/2015,DG,1,1,0,1,0,1,1_1_1_1,202_1_1_1_1,y,202,237DG
88,shh_14.5_10_238_DI,DUHi,14.5,238,14.585,12/17/2013,DI,1,1,0,1,0,1,1_1_1_1,202_1_1_1_1,-,202,238DI
204,shh_15.0_13_241_FAA,FVB,15,241,14.614,03/04/14,FAA,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,241FAA
112,shh_15.5_06_244_DV,DUHi,15.5,244,15.054,5/27/2015,DV,1,2,0,2,0,1,1_2_2_1,235_1_2_2_1,y,235,244DV
148,shh_15.0_05_245_DJ,DUHi,15,245,14.969,10/23/2014,DJ,0,2,0,1,0,1,0_2_1_1,227_0_2_1_1,-,227,245DJ
37,shh_16.5_01_246_DW,DUHi,16.5,246,15.266,1/30/2014,DW,1,2,0,2,0,1,1_2_2_1,235_1_2_2_1,Y,235,246DW
95,shh_14.5_09_246_FL,FVB,14.5,246,15.987,9/25/2014,FL,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,Y,325,246FL
205,shh_15.0_14_248_FAA,FVB,15,248,14.857,12/11/14,FAA,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,248FAA
206,shh_15.0_15_249_FAA,FVB,15,249,15.103,5/27/2015,FAA,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,y,325,249FAA
49,shh_15.0_05_256_FD,FVB,15,256,15.117,5/27/2015,FD,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,256FD
