,ID,Strain,ident,Age,Weight,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid
173,shh_15.5_16_427_DN,DUHi,215,15.5,427,DN,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,-,331,427DN
174,shh_15.5_16_427_DN,DUHi,216,15.5,427,DN,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,-,331,427DN
125,shh_16.0_01_455_O,DUHi,237,16,455,DO,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,-,331,455DO
156,shh_16.0_03_391_O,DUHi,233,16,391,DO,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,y,331,391DO
33,shh_16.0_04_424_O,DUHi,235,16,424,DO,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,424DO
12,shh_16.0_06_481_O,DUHi,239,16,481,DO,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,-,331,481DO
27,shh_16.0_07_452_DO,DUHi,236,16,452,DO,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,452DO
11,shh_16.0_08_456_DO,DUHi,219,16,456,DO,0,2,0,2,2,1,0_2_2_1,331_0_2_2_1,-,331,456DO
149,shh_14.5_06_287_P,DUHi,NA,14.5,287,DP,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,Y,331,287DP
5,shh_14.5_07_367_P,DUHi,192,14.5,367,DP,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,-,331,367DP
63,shh_14.5_16_187_P,DUHi,NA,14.5,187,DP,0,0,0,0,0,1,0_0_0_1,168_0_0_0_1,-,168,187DP
96,shh_14.5_19_331_DP,DUHi,NA,14.5,331,DP,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,Y,331,331DP
111,shh_14.5_20_343_DP,DUHi,NA,14.5,343,DP,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,y,331,343DP
181,shh_13.5_05_67_Q,DUHi,28,13.5,67,DQ,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,67DQ
101,shh_13.5_07_113_Q,DUHi,34,13.5,113,DQ,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,Y,120,113DQ
38,shh_14.0_05_117_R,DUHi,72,14,117,DR,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,117DR
86,shh_14.0_06_169_R,DUHi,78,14,169,DR,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,-,168,169DR
49,shh_14.0_15_139_DR,DUHi,73,14,139,DR,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,-,143,139DR
60,shh_14.0_17_161_DR,DUHi,77,14,161,DR,0,0,0,0,0,1,0_0_0_1,168_0_0_0_1,Y,168,161DR
89,shh_14.0_30_149_DR,DUHi,76,14,149,DR,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,y,168,149DR
121,shh_15.0_13_196_DT,DUHi,183,15,196,DT,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,-,211,196DT
84,shh_14.0_12_91_DU,DUHi,80,14,91,DU,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,Y,120,91DU
108,shh_14.0_13_113_DU,DUHi,83,14,113,DU,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,Y,120,113DU
79,shh_14.0_14_125_DU,DUHi,85,14,125,DU,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,Y,120,125DU
53,shh_14.0_20_142_DU,DUHi,87,14,142,DU,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,-,143,142DU
187,shh_14.0_29_158_DU,DUHi,89,14,158,DU,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,-,143,158DU
98,shh_15.5_06_244_V,DUHi,223,15.5,244,DV,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,y,331,244DV
46,shh_15.5_07_290_V,DUHi,224,15.5,290,DV,0,2,0,2,0,1,0_2_2_1,331_0_2_2_1,Y,331,290DV
35,shh_15.5_08_363_V,DUHi,229,15.5,363,DV,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,363DV
25,shh_15.5_09_457_V,DUHi,230,15.5,457,DV,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,457DV
131,shh_15.5_11_340_DV,DUHi,226,15.5,340,DV,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,340DV
138,shh_15.5_11_340_DV,DUHi,226,15.5,340,DV,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,340DV
120,shh_15.5_12_355_DV,DUHi,227,15.5,355,DV,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,Y,331,355DV
