"","ID","Strain","Age","Weight","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","X","Age.dpc.","Date","Strain","Weight","Litter","Weekday","indata","mediantemps","bornemin","bornemax","nid"
"235","shh_13.5_21_136_FU","FVB",13.5,136,"FU",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"136FU",45,13.5,"11/19/2014","DUHi",135,"DZ",4,TRUE,13.858,13.397,14.325,"135DZ"
"224","shh_13.5_17_137_FV","FVB",13.5,137,"FV",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","-",162,"137FV",318,13.5,"4/29/2015","FVB",136,"FU",4,TRUE,13.564,13.014,14.1,"136FU"
"119","shh_14.0_19_139_DF","DUHi",14,139,"DF",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"139DF",326,13.5,"4/30/2015","FVB",137,"FV",5,TRUE,13.633,13.103,14.166,"137FV"
"7","shh_14.0_09_140_DF","DUHi",14,140,"DF",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"140DF",66,14,"7/17/2014","DUHi",139,"DF",5,TRUE,14.136,13.682,14.586,"139DF"
"10","shh_14.0_22_141_DAA","DUHi",14,141,"DAA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"141DAA",67,14,"7/17/2014","DUHi",139,"DF",5,TRUE,14.138,13.681,14.606,"139DF"
"4","shh_14.0_03_141_DD","DUHi",14,141,"DD",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"141DD",68,14,"7/17/2014","DUHi",140,"DF",5,TRUE,14.156,13.678,14.601,"140DF"
"181","shh_14.0_08_141_FJ","FVB",14,141,"FJ",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","Y",162,"141FJ",50,14,"05/12/14","DUHi",141,"DAA",2,TRUE,14.155,13.668,14.633,"141DAA"
"12","shh_14.0_23_142_DAA","DUHi",14,142,"DAA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"142DAA",60,14,"1/20/2014","DUHi",141,"DD",2,TRUE,14.431,13.951,14.89,"141DD"
"167","shh_14.0_20_142_DU","DUHi",14,142,"DU",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"142DU",379,14,"12/08/14","FVB",141,"FJ",2,TRUE,13.932,13.417,14.464,"141FJ"
"116","shh_14.0_10_143_DF","DUHi",14,143,"DF",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"143DF",51,14,"05/12/14","DUHi",142,"DAA",2,TRUE,14.169,13.669,14.661,"142DAA"
