	Age(dpc)	Date	Strain	Weight	Litter	Weekday
349	17.5	10/19/2015	FVB	951	FAH	2
350	17.5	10/19/2015	FVB	973	FAH	2
351	17.5	10/19/2015	FVB	1050	FAH	2
352	18	11/2/2015	FVB	858	FAL	2
353	18	11/2/2015	FVB	883	FAL	2
354	18	11/2/2015	FVB	904	FAL	2
355	18	11/2/2015	FVB	938	FAL	2
356	18	11/2/2015	FVB	1009	FAL	2
357	18	11/2/2015	FVB	1011	FAL	2
358	18	11/2/2015	FVB	1036	FAL	2
359	18	11/2/2015	FVB	1040	FAL	2
360	18	11/2/2015	FVB	1084	FAL	2
361	18	11/2/2015	FVB	1092	FAL	2
362	18	8/4/2014	FVB	720	FH	2
363	18	8/4/2014	FVB	796	FH	2
364	18	8/4/2014	FVB	797	FH	2
365	18	8/4/2014	FVB	851	FH	2
366	18	8/4/2014	FVB	855	FH	2
367	18	8/4/2014	FVB	928	FH	2
368	18	8/4/2014	FVB	929	FH	2
369	18	8/4/2014	FVB	948	FH	2
370	18	8/4/2014	FVB	966	FH	2
371	18	8/4/2014	FVB	981	FH	2
372	19.5	10/12/2015	FVB	857	FAG	2
373	19.5	10/12/2015	FVB	1050	FAG	2
374	19.5	10/12/2015	FVB	1097	FAG	2
375	19.5	10/12/2015	FVB	1098	FAG	2
376	19.5	10/12/2015	FVB	1099	FAG	2
377	19.5	10/12/2015	FVB	1119	FAG	2
378	19.5	10/12/2015	FVB	1149	FAG	2
379	19.5	10/12/2015	FVB	1150	FAG	2
380	19.5	10/12/2015	FVB	1164	FAG	2
381	19.5	10/12/2015	FVB	1175	FAG	2
382	19.5	10/12/2015	FVB	1179	FAG	2
383	19.5	10/12/2015	FVB	1187	FAG	2
384	13.5	10/17/2014	FVB	86	FI	6
385	13.5	10/17/2014	FVB	99	FI	6
386	13.5	10/17/2014	FVB	108	FI	6
387	13.5	10/17/2014	FVB	109	FI	6
388	13.5	10/17/2014	FVB	117	FI	6
389	13.5	10/17/2014	FVB	126	FI	6
390	13.5	10/17/2014	FVB	136	FI	6
391	12.5	1/21/2014	DUHi	67	DA	3
392	12.5	1/21/2014	DUHi	83	DA	3
393	13.5	03/16/16	DUHi	104	DAI	4
394	13.5	03/16/16	DUHi	110	DAI	4
395	13.5	03/16/16	DUHi	111	DAI	4
396	13.5	03/16/16	DUHi	114	DAI	4
397	13.5	03/16/16	DUHi	118	DAI	4
398	13.5	03/16/16	DUHi	119	DAI	4
399	13.5	03/16/16	DUHi	120	DAI	4
400	13.5	03/16/16	DUHi	124	DAI	4
401	13.5	03/16/16	DUHi	129	DAI	4
402	13.5	03/16/16	DUHi	132	DAI	4
403	13.5	1/20/2014	DUHi	102	DB	2
404	13.5	1/20/2014	DUHi	104	DB	2
405	13.5	1/20/2014	DUHi	111	DB	2
406	13.5	1/20/2014	DUHi	115	DB	2
407	13.5	1/20/2014	DUHi	117	DB	2
408	13.5	1/20/2014	DUHi	123	DB	2
409	13.5	1/20/2014	DUHi	124	DB	2
410	13.5	1/20/2014	DUHi	129	DB	2
411	13.5	1/20/2014	DUHi	130	DB	2
412	13.5	1/20/2014	DUHi	135	DB	2
413	13.5	1/20/2014	DUHi	144	DB	2
414	13.5	1/20/2014	DUHi	144	DB	2
415	13.5	1/20/2014	DUHi	154	DB	2
416	13.5	1/20/2014	DUHi	156	DB	2
417	13.5	1/20/2014	DUHi	165	DB	2
418	13.5	7/16/2014	DUHI	68	DC	4
419	13.5	7/16/2014	DUHI	69	DC	4
420	13.5	7/16/2014	DUHI	72	DC	4
421	13.5	7/16/2014	DUHI	89	DC	4
422	13.5	7/16/2014	DUHI	91	DC	4
423	13.5	7/16/2014	DUHI	93	DC	4
424	13.5	7/16/2014	DUHI	94	DC	4
425	13.5	7/16/2014	DUHI	95	DC	4
426	13.5	7/16/2014	DUHI	111	DC	4
427	13.5	7/16/2014	DUHI	78	DC	4
428	13.5	7/30/2014	DUHi	67	DQ	4
429	13.5	7/30/2014	DUHi	81	DQ	4
430	13.5	7/30/2014	DUHi	91	DQ	4
431	13.5	7/30/2014	DUHi	101	DQ	4
432	13.5	7/30/2014	DUHi	104	DQ	4
433	13.5	7/30/2014	DUHi	108	DQ	4
434	13.5	7/30/2014	DUHi	113	DQ	4
435	13.5	7/30/2014	DUHi	98	DQ	4
436	13.5	11/19/2014	DUHi	88	DZ	4
437	13.5	11/19/2014	DUHi	99	DZ	4
